id;Name;Quant;Type;Date;Status;Province;lat;lon;;;;;;
Donetsk Oblast;БТР-80;1;APC;15.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
Donetsk Oblast;БТС-4;1;ARV;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
Donetsk Oblast;2С7;1;ARTY;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
Donetsk Oblast;5П85С;1;AA;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
Donetsk Oblast;9А310;1;AA;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
Donetsk Oblast;Р-975М;1;APC;14.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.697819;36.824306;;;;;;
;МТ-ЛБ;1;APC;14.04.2022;DESTROYED;;;;;;;;;
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Kherson Oblast;БТР-80;1;APC;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Kherson Oblast;БРДМ-2Л1;1;RECCE;13.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Kharkiv Oblast;Т-64БВ;1;MBT;13.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.103572;37.566349;;;;;;
Donetsk Oblast;БТР-4Е;1;APC;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
;БРДМ-2РХБ;1;RECCE;13.04.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;08.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.148501;37.559598;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.103572;37.566349;;;;;;
Donetsk Oblast;Т-80БВ;1;MBT;13.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.103572;37.566349;;;;;;
Donetsk Oblast;БТР-Д;1;APC;12.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850;;;;;;
Kyiv Oblast;БРДМ-2Л1;1;RECCE;11.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.66528;29.829388;;;;;;
;9А33Б;1;AA;10.04.2022;DESTROYED;;;;;;;;;
Kharkiv Oblast;Т-64БВ;1;MBT;10.04.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.121520;37.292813;;;;;;
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;10.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.497736;37.150871;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;10.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;09.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.517881;31.357565;;;;;;
Donetsk Oblast;Т-64БВ;1;MBT;08.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850;;;;;;
Kyiv Oblast;РХМ-4;1;APC;08.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410;;;;;;
Donetsk Oblast;БРДМ-2Л1;1;RECCE;07.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.630781;36.982374;;;;;;
Donetsk Oblast;Т-64Б;1;MBT;07.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;07.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.534119;30.234160;;;;;;
;Т-64БВ ОБР. 2017;1;MBT;05.04.2022;DESTROYED;;;;;;;;;
Donetsk Oblast;МТ-ЛБ;1;APC;05.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;05.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.620189;30.055491;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;05.04.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.418739;31.307636;;;;;;
Kyiv Oblast;Т-72АМТ;1;MBT;05.04.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450458;30.523460;;;;;;
Donetsk Oblast;5Н63С;1;AA;04.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.065352;37.144656;;;;;;
Luhansk Oblast;МТ-ЛБ;1;APC;03.04.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;48.770982;38.802217;;;;;;
;Т-72АМТ;1;MBT;03.04.2022;DESTROYED;;;;;;;;;
Kherson Oblast;9А33Б;1;AA;02.04.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935;;;;;;
Donetsk Oblast;БТР-3Е;1;APC;01.04.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Zaporizhia Oblast;Т-72АМТ;1;MBT;31.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124;;;;;;
Kyiv Oblast;Т-64Б1;1;MBT;31.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.565245;30.271484;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;76Н6;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Donetsk Oblast;БТР-3Е;1;APC;30.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;49.095853;37.964115;;;;;;
Kyiv Oblast;БРДМ-2Л1;1;RECCE;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410;;;;;;
Kyiv Oblast;БТР-3Е;1;APC;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.514161;30.215410;;;;;;
Zaporizhia Oblast;БТР-4Е;1;APC;30.03.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kharkiv Oblast;30Н6;1;AA;30.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491;;;;;;
Kyiv Oblast;БТР-80;1;APC;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.507424;29.810188;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.485232;29.718201;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.467221;29.814851;;;;;;
Kyiv Oblast;МТ-ЛБС;1;APC;29.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.450441;30.523550;;;;;;
Chernihiv Oblast;Т-64БВ;1;MBT;28.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
Kyiv Oblast;9А310;1;AA;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.276170;30.204585;;;;;;
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;26.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512;;;;;;
Donetsk Oblast;БТР-3М2;1;APC;26.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440;;;;;;
Kyiv Oblast;9П148;1;RECCE;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.423493;29.692555;;;;;;
Kyiv Oblast;9П148;1;RECCE;26.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.423493;29.692555;;;;;;
Donetsk Oblast;2С7;1;ARTY;24.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756;;;;;;
Donetsk Oblast;БРДМ-2Л1;1;RECCE;24.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850;;;;;;
Chernihiv Oblast;Т-72АМТ;1;MBT;22.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
Chernihiv Oblast;1В14;1;APC;21.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514;;;;;;
Chernihiv Oblast;2С3;1;ARTY;21.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514;;;;;;
Donetsk Oblast;БРДМ-2;1;RECCE;20.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.514305;37.536670;;;;;;
Donetsk Oblast;БТС-4;1;ARV;20.03.2022;DESTROYED;ДОНЕЦКАЯ ОБЛАСТЬ;47.614839;37.138321;;;;;;
Kharkiv Oblast;БТР-4Е;1;APC;18.03.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.156732;37.367688;;;;;;
Kyiv Oblast;Т-64БВ ОБР. 2017;1;MBT;17.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133;;;;;;
;1В14;1;APC;17.03.2022;DESTROYED;;;;;;;;;
Kyiv Oblast;Т-64БВ;1;MBT;17.03.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133;;;;;;
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050;;;;;;
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050;;;;;;
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050;;;;;;
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050;;;;;;
Luhansk Oblast;5Н63С;1;AA;17.03.2022;DESTROYED;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050;;;;;;
Chernihiv Oblast;Т-72АМТ;1;MBT;17.03.2022;DESTROYED;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320;;;;;;
