id;Name;Quant;Type;Date;Status;Town;Province;lat;lon
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;5П851А;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kharkiv Oblast;30Н6;1;AA;30.03.2022;DESTROYED;ЦИРКУНЫ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.084432 ;36.387491
Kyiv Oblast;БТР-80;1;APC;30.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.580265;30.264853
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;ЛИПОВКА;КИЕВСКАЯ ОБЛАСТЬ;50.507424;29.810188
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;НАЛИВАЙКОВКА;КИЕВСКАЯ ОБЛАСТЬ;50.485232;29.718201
Kyiv Oblast;Т-64БВ;1;MBT;30.03.2022;DESTROYED;МАКАРОВ;КИЕВСКАЯ ОБЛАСТЬ;50.467221;29.814851
Kyiv Oblast;МТ-ЛБС;1;APC;29.03.2022;DESTROYED;КИЕВ;КИЕВСКАЯ ОБЛАСТЬ;50.450441;30.523550
Chernihiv Oblast;Т-64БВ;1;MBT;28.03.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Kyiv Oblast;9А310;1;AA;26.03.2022;DESTROYED;ЛИПОВЫЙ СКИТОК;КИЕВСКАЯ ОБЛАСТЬ;50.276170;30.204585
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;26.03.2022;DESTROYED;ВОЛНОВАХА;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Donetsk Oblast;БТР-3М2;1;APC;26.03.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Kyiv Oblast;9П148;1;RECCE;26.03.2022;DESTROYED;СИТНЯКИ;КИЕВСКАЯ ОБЛАСТЬ;50.423493;29.692555
Kyiv Oblast;9П148;1;RECCE;26.03.2022;DESTROYED;СИТНЯКИ;КИЕВСКАЯ ОБЛАСТЬ;50.423493;29.692555
Donetsk Oblast;2С7;1;ARTY;24.03.2022;DESTROYED;КРАСНАЯ ПОЛЯНА;ДОНЕЦКАЯ ОБЛАСТЬ;47.557850;37.074756
Donetsk Oblast;БРДМ-2Л1;1;RECCE;24.03.2022;DESTROYED;;ДОНЕЦКАЯ ОБЛАСТЬ;48.015877;37.802850
Chernihiv Oblast;Т-72АМТ;1;MBT;22.03.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Chernihiv Oblast;1В14;1;APC;21.03.2022;DESTROYED;ЧЕРНИГОВ;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514
Chernihiv Oblast;2С3;1;ARTY;21.03.2022;DESTROYED;ЧЕРНИГОВ;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.518007;31.357514
Donetsk Oblast;БРДМ-2;1;RECCE;20.03.2022;DESTROYED;ДОНСКОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.514305;37.536670
Donetsk Oblast;БТС-4;1;ARV;20.03.2022;DESTROYED;СТЕПНОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.614839;37.138321
;БТР-4Е;1;APC;18.03.2022;DESTROYED;;;;
Kyiv Oblast;Т-64БВ ОБР. 2017;1;MBT;17.03.2022;DESTROYED;ТЕРМАХОВКА;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133
;1В14;1;APC;17.03.2022;DESTROYED;;;;
Kyiv Oblast;Т-64БВ;1;MBT;17.03.2022;DESTROYED;ТЕРМАХОВКА;КИЕВСКАЯ ОБЛАСТЬ;51.017316;29.698133
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;СВАТОВО;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;СВАТОВО;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;СВАТОВО;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;5П85С;1;AA;17.03.2022;DESTROYED;СВАТОВО;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Luhansk Oblast;5Н63С;1;AA;17.03.2022;DESTROYED;СВАТОВО;ЛУГАНСКАЯ ОБЛАСТЬ;49.409282;38.162050
Chernihiv Oblast;Т-72АМТ;1;MBT;17.03.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;БТР-70Т;1;APC;16.03.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;МТ-ЛБ;1;APC;16.03.2022;DESTROYED;ОЛЬГИНКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.694332;37.503432
;2С1;1;ARTY;15.03.2022;DESTROYED;;;;
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;14.03.2022;DESTROYED;БЕРЁЗОВОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.767665;37.577957
Donetsk Oblast;Т-64БВ;1;MBT;14.03.2022;DESTROYED;БЕРЁЗОВОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.767665;37.577957
Luhansk Oblast;9П148;1;RECCE;14.03.2022;DESTROYED;ПОПАСНАЯ;ЛУГАНСКАЯ ОБЛАСТЬ;48.633795;38.376550
Luhansk Oblast;Т-72АВ;1;MBT;13.03.2022;DESTROYED;ВАРВАРОВКА;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439
Luhansk Oblast;Т-72АВ;1;MBT;13.03.2022;DESTROYED;ВАРВАРОВКА;ЛУГАНСКАЯ ОБЛАСТЬ;49.072440;38.402439
Chernihiv Oblast;Т-64БВ;1;MBT;12.03.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;БТР-4Е;1;APC;12.03.2022;DESTROYED;МАРИУПОЛЬ;ДОНЕЦКАЯ ОБЛАСТЬ;47.096703;37.541440
Donetsk Oblast;Т-64БВ ОБР. 2017;1;MBT;11.03.2022;DESTROYED;ВОЛНОВАХА;ДОНЕЦКАЯ ОБЛАСТЬ;47.618446;37.493348
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.592434;30.223679
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.592434;30.223679
Kherson Oblast;Т-64БВ ОБР. 2017;1;MBT;11.03.2022;DESTROYED;АНТОНОВКА;ХЕРСОНСКАЯ ОБЛАСТЬ;46.670195;32.720209
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100
Donetsk Oblast;Т-64БВ;1;MBT;11.03.2022;DESTROYED;ВОЛНОВАХА;ДОНЕЦКАЯ ОБЛАСТЬ;47.593245;37.504082
Donetsk Oblast;Т-64БВ;1;MBT;11.03.2022;DESTROYED;ВОЛНОВАХА;ДОНЕЦКАЯ ОБЛАСТЬ;47.594493;37.500520
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100
Kyiv Oblast;БТР-3Е;1;APC;11.03.2022;DESTROYED;ГОСТОМЕЛЬ;КИЕВСКАЯ ОБЛАСТЬ;50.592295;30.224100
;Т-64БВ;1;MBT;09.03.2022;DESTROYED;;;;
Donetsk Oblast;Т-64БВ;1;MBT;09.03.2022;DESTROYED;НОВОТРОИЦКОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.717179;37.576160
Kherson Oblast;5П85С;1;AA;08.03.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Chernihiv Oblast;Т-64БВ;1;MBT;06.03.2022;DESTROYED;;ЧЕРНИГОВСКАЯ ОБЛАСТЬ;51.491512;31.298320
Donetsk Oblast;БРДМ-2Л1;1;RECCE;05.03.2022;DESTROYED;КАЛЬЧИНОВКА;ДОНЕЦКАЯ ОБЛАСТЬ;47.355068;37.139175
Kharkiv Oblast;БТР-4Е;1;APC;05.03.2022;DESTROYED;ХАРЬКОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.053756;36.347771
Kherson Oblast;БРДМ-2РХБ;1;RECCE;05.03.2022;DESTROYED;;ХЕРСОНСКАЯ ОБЛАСТЬ;46.640319;32.614935
Donetsk Oblast;Т-64БВ;1;MBT;04.03.2022;DESTROYED;ТРУДОВСКОЕ;ДОНЕЦКАЯ ОБЛАСТЬ;47.585948;37.658922
Donetsk Oblast;Т-64БВ;1;MBT;04.03.2022;DESTROYED;ВОЛНОВАХА;ДОНЕЦКАЯ ОБЛАСТЬ;47.598505;37.483512
Zaporizhia Oblast;БТР-80;1;APC;04.03.2022;DESTROYED;БОЛГАРКА;ЗАПОРОЖСКАЯ ОБЛАСТЬ;46.905397;36.327924
Kharkiv Oblast;9А33Б;1;AA;03.03.2022;DESTROYED;НОВЫЙ КОРОТЫЧ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.974913;36.009798
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
;БТР-4Е;1;APC;03.03.2022;DESTROYED;;;;
Kharkiv Oblast;БТР-4Е;1;APC;03.03.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;9А33Б;1;AA;03.03.2022;DESTROYED;;ХАРЬКОВСКАЯ ОБЛАСТЬ;50.081791;36.306507
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;РХМ;1;APC;03.03.2022;DESTROYED;ХАРЬКОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kharkiv Oblast;Т-64БМ2;1;MBT;03.03.2022;DESTROYED;ХАРЬКОВ;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
