id;Type;Quant;Date;Status;Province;lat;lon
Mykolaiv Oblast;ARTY;1;26.02.2022;DESTROYED;НИКОЛАЕВСКАЯ ОБЛАСТЬ;46.975574;31.993813
Zaporizhia Oblast;MBT;1;25.02.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;46.842187;35.372880
Kharkiv Oblast;APC;1;25.02.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Zaporizhia Oblast;AA;1;25.02.2022;DESTROYED;ЗАПОРОЖСКАЯ ОБЛАСТЬ;47.221454;35.706124
Kyiv Oblast;APC;1;25.02.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.553346;30.213451
Kyiv Oblast;APC;1;25.02.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.553346;30.213451
Kyiv Oblast;APC;1;25.02.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.553346;30.213451
Kyiv Oblast;APC;1;25.02.2022;DESTROYED;КИЕВСКАЯ ОБЛАСТЬ;50.553346;30.213451
Kherson Oblast;AA;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.609201;32.847672
Kherson Oblast;AA;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.623724;32.734042
Kherson Oblast;RECCE;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.609279;32.852767
Kherson Oblast;AA;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.609190;32.848841
Kherson Oblast;RECCE;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.609205;32.843412
Kherson Oblast;AA;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.609205;32.843412
;RECCE;1;25.02.2022;DESTROYED;;;
Kharkiv Oblast;MBT;1;25.02.2022;DESTROYED;ХАРЬКОВСКАЯ ОБЛАСТЬ;49.992172;36.231191
Kherson Oblast;APC;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.611373;32.719687
Kherson Oblast;AA;1;25.02.2022;DESTROYED;ХЕРСОНСКАЯ ОБЛАСТЬ;46.611373;32.719687
